Funder Name,Charity Number,Change Type,Date,Description,Additional Details
Bbc Children In Need,802052,Restructuring,01/01/2025,"Changes to eligibility policies from  from 22nd January 2025.
  
Turnover
 
We seek to prioritise smaller, local organisations.
 
For Core Grants: we will not fund any organisations with a turnover of over  �1m.
 
 
For Project Grants: If your organisation has a turnover of over  �2m you may only apply for a Project Grant if you meet certain criteria, which you can find on the website 

 
Consecutive funding
 
Currently, CiN are only able to fund 1 in 8 of the applications we receive. If your organisation reaches 9 years of consecutive funding, at the end of your existing grant, you will be unable to reapply to BBC Children in Need for 3 years.
 
 
 They have also made some changes to A-Z policies and guidance, which explain what we do and don't fund.
 

 
If you have any questions about any of these changes,  contact your local Impact Officer. 
 
'We regularly update our eligibility criteria, so please remember to check our website for any additional updates before you apply'",
The Grocers' Charity,255230,Did not open new window,01/01/2025, Cancelled due to the extraordinary number of grant applications received by our 6 September 2024 deadline. ,
The Topinambour Trust,1117555,Restructuring,01/01/2025,The Trust now mainly distribute their funds through The Big Give,
,,Restructuring,01/01/2025,"Open programme no longer accepting unsolicited applications, small grants at local offices still running, 

https://barrattfoundation.org.uk/apply/",
The Robert Gavron Charitable Trust,268535,Restructuring,01/01/2025,The Trust are currently overspent and overcommitted so they are now offering modest grants to small charities only,
The Dorothy Hay-Bolton Charitable Trust,1010438,Spend Out,01/01/2025,The Trust closed in early Spring 2025,
Broome Family Charitable Trust,1083281,Restructuring,01/01/2025,The Trust are not taking on any new charities,
The Hilden Charitable Fund,232591,Re-opened,01/01/2025,"Overseas Funding 2025 - Malawi only

Open to receive applications via online application process from 10am on Friday 28th February 2025 until 3pm on Wednesday 2nd April 2025 (all times GMT). Applications received outside these dates/times will not be considered.",
The Pixel Fund,1191052,Paused,01/01/2025,"We are currently oversubscribed for new applications. Due to this we have closed to new applications and have therefore removed the contact form at the bottom of this page. 

Once the backlog is cleared, we will open again. We hope to be able to do this as soon as possible.",
The Kristina Martin Charitable Trust,249913,Restructuring,01/01/2025,"The Trustees have recently reviewed their eligibility criteria. Applications for the 2025 grant round are expected to open in November 2025. Specific grant invitations and eligibility criteria have not yet been established, however, you can see those invited and conditions for the 2024 grant round on the appropriate website page.https://sites.google.com/kmct.org.uk/kmct/home",
The Foyle Foundation,1081766,Closed,01/01/2025,The Foyle Foundation  completed its grant giving programme in 2025,Was always designed as a spend out vehicle for distributing assets under the terms of the late Christina Foyle's will. Will comoplete its 25 years in 2025
The Queen Anne's Gate Foundation,1108903,Closing,01/01/2025,Closing down and not open to new applications,
